Query_Name	Query
Total_CT_NIH	("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Total_CT_notNIH	("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
TotalDisease_CT_NIH	("Diseases Category"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
TotalDisease_CT_notNIH	("Diseases Category"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Cardio_CT_NIH	("Cardiovascular Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Cardio_CT_notNIH	("Cardiovascular Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Digestive_CT_NIH	("Digestive System Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Digestive_CT_notNIH	("Digestive System Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Endocrine_CT_NIH	("Endocrine System Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Female Urogenital Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Endocrine_CT_notNIH	("Endocrine System Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Female Urogenital Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Eye_CT_NIH	("Eye Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Eye_CT_notNIH	("Eye Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Female_CT_NIH	("Female Urogenital Diseases and Pregnancy Complications"[Mesh] NOT ("Neoplasms"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh] OR "Male Urogenital Diseases"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Female_CT_notNIH	("Female Urogenital Diseases and Pregnancy Complications"[Mesh] NOT ("Neoplasms"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh] OR "Male Urogenital Diseases"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Hemic_CT_NIH	("Hemic and Lymphatic Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Hemic_CT_notNIH	("Hemic and Lymphatic Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Immune_CT_NIH	("Immune System Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Immune_CT_notNIH	("Immune System Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
InfectiousDiseases_CT_NIH	("Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
InfectiousDiseases_CT_notNIH	("Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Male_CT_NIH	("Male Urogenital Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Male_CT_notNIH	("Male Urogenital Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Muscle_CT_NIH	("Musculoskeletal Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
