Query_Name	Query
HCEO_NIH	("Health Care Economics and Organizations"[Mesh]) AND (("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) OR ("Q J Econ"[Journal] OR "J Econ Lit"[Journal] OR "J Polit Econ"[Journal] OR "Econometrica"[Journal] OR "J Econ Growth (Boston)"[Journal] OR "J financ econ"[Journal] OR "J Finance"[Journal] OR "Rev Econ Stud"[Journal] OR "J Econ Perspect"[Journal] OR "Am Econ Rev"[Journal] OR "Rev Financ Stud"[Journal] OR "J Monet Econ"[Journal] OR "J Labor Econ"[Journal] OR "Brookings Pap Econ Act"[Journal] OR "Econ J"[Journal] OR "J Econom"[Journal] OR "J Eur Econ Assoc"[Journal] OR "Rand J Econ"[Journal])) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
HCEO_notNIH	("Health Care Economics and Organizations"[Mesh]) AND (("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) OR ("Q J Econ"[Journal] OR "J Econ Lit"[Journal] OR "J Polit Econ"[Journal] OR "Econometrica"[Journal] OR "J Econ Growth (Boston)"[Journal] OR "J financ econ"[Journal] OR "J Finance"[Journal] OR "Rev Econ Stud"[Journal] OR "J Econ Perspect"[Journal] OR "Am Econ Rev"[Journal] OR "Rev Financ Stud"[Journal] OR "J Monet Econ"[Journal] OR "J Labor Econ"[Journal] OR "Brookings Pap Econ Act"[Journal] OR "Econ J"[Journal] OR "J Econom"[Journal] OR "J Eur Econ Assoc"[Journal] OR "Rand J Econ"[Journal])) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
HCEODiseases_NIH	("Health Care Economics and Organizations"[Mesh]) AND "Diseases Category"[Mesh] AND (("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) OR ("Q J Econ"[Journal] OR "J Econ Lit"[Journal] OR "J Polit Econ"[Journal] OR "Econometrica"[Journal] OR "J Econ Growth (Boston)"[Journal] OR "J financ econ"[Journal] OR "J Finance"[Journal] OR "Rev Econ Stud"[Journal] OR "J Econ Perspect"[Journal] OR "Am Econ Rev"[Journal] OR "Rev Financ Stud"[Journal] OR "J Monet Econ"[Journal] OR "J Labor Econ"[Journal] OR "Brookings Pap Econ Act"[Journal] OR "Econ J"[Journal] OR "J Econom"[Journal] OR "J Eur Econ Assoc"[Journal] OR "Rand J Econ"[Journal])) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
HCEODiseases_notNIH	*("Health Care Economics and Organizations"[Mesh]) AND "Diseases Category"[Mesh] AND (("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) OR ("Q J Econ"[Journal] OR "J Econ Lit"[Journal] OR "J Polit Econ"[Journal] OR "Econometrica"[Journal] OR "J Econ Growth (Boston)"[Journal] OR "J financ econ"[Journal] OR "J Finance"[Journal] OR "Rev Econ Stud"[Journal] OR "J Econ Perspect"[Journal] OR "Am Econ Rev"[Journal] OR "Rev Financ Stud"[Journal] OR "J Monet Econ"[Journal] OR "J Labor Econ"[Journal] OR "Brookings Pap Econ Act"[Journal] OR "Econ J"[Journal] OR "J Econom"[Journal] OR "J Eur Econ Assoc"[Journal] OR "Rand J Econ"[Journal])) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
EconSub_NIH	("economics"[Subheading]) AND (("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) OR ("Q J Econ"[Journal] OR "J Econ Lit"[Journal] OR "J Polit Econ"[Journal] OR "Econometrica"[Journal] OR "J Econ Growth (Boston)"[Journal] OR "J financ econ"[Journal] OR "J Finance"[Journal] OR "Rev Econ Stud"[Journal] OR "J Econ Perspect"[Journal] OR "Am Econ Rev"[Journal] OR "Rev Financ Stud"[Journal] OR "J Monet Econ"[Journal] OR "J Labor Econ"[Journal] OR "Brookings Pap Econ Act"[Journal] OR "Econ J"[Journal] OR "J Econom"[Journal] OR "J Eur Econ Assoc"[Journal] OR "Rand J Econ"[Journal])) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
EconSub_notNIH	("economics"[Subheading]) AND (("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) OR ("Q J Econ"[Journal] OR "J Econ Lit"[Journal] OR "J Polit Econ"[Journal] OR "Econometrica"[Journal] OR "J Econ Growth (Boston)"[Journal] OR "J financ econ"[Journal] OR "J Finance"[Journal] OR "Rev Econ Stud"[Journal] OR "J Econ Perspect"[Journal] OR "Am Econ Rev"[Journal] OR "Rev Financ Stud"[Journal] OR "J Monet Econ"[Journal] OR "J Labor Econ"[Journal] OR "Brookings Pap Econ Act"[Journal] OR "Econ J"[Journal] OR "J Econom"[Journal] OR "J Eur Econ Assoc"[Journal] OR "Rand J Econ"[Journal])) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
EconSubDiseases_NIH	("economics"[Subheading]) AND "Diseases Category"[Mesh] AND (("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) OR ("Q J Econ"[Journal] OR "J Econ Lit"[Journal] OR "J Polit Econ"[Journal] OR "Econometrica"[Journal] OR "J Econ Growth (Boston)"[Journal] OR "J financ econ"[Journal] OR "J Finance"[Journal] OR "Rev Econ Stud"[Journal] OR "J Econ Perspect"[Journal] OR "Am Econ Rev"[Journal] OR "Rev Financ Stud"[Journal] OR "J Monet Econ"[Journal] OR "J Labor Econ"[Journal] OR "Brookings Pap Econ Act"[Journal] OR "Econ J"[Journal] OR "J Econom"[Journal] OR "J Eur Econ Assoc"[Journal] OR "Rand J Econ"[Journal])) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
EconSubDiseases_notNIH	("economics"[Subheading]) AND "Diseases Category"[Mesh] AND (("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) OR ("Q J Econ"[Journal] OR "J Econ Lit"[Journal] OR "J Polit Econ"[Journal] OR "Econometrica"[Journal] OR "J Econ Growth (Boston)"[Journal] OR "J financ econ"[Journal] OR "J Finance"[Journal] OR "Rev Econ Stud"[Journal] OR "J Econ Perspect"[Journal] OR "Am Econ Rev"[Journal] OR "Rev Financ Stud"[Journal] OR "J Monet Econ"[Journal] OR "J Labor Econ"[Journal] OR "Brookings Pap Econ Act"[Journal] OR "Econ J"[Journal] OR "J Econom"[Journal] OR "J Eur Econ Assoc"[Journal] OR "Rand J Econ"[Journal])) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
LegSub_NIH	("legislation and jurisprudence"[Subheading]) AND (("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) OR ("Q J Econ"[Journal] OR "J Econ Lit"[Journal] OR "J Polit Econ"[Journal] OR "Econometrica"[Journal] OR "J Econ Growth (Boston)"[Journal] OR "J financ econ"[Journal] OR "J Finance"[Journal] OR "Rev Econ Stud"[Journal] OR "J Econ Perspect"[Journal] OR "Am Econ Rev"[Journal] OR "Rev Financ Stud"[Journal] OR "J Monet Econ"[Journal] OR "J Labor Econ"[Journal] OR "Brookings Pap Econ Act"[Journal] OR "Econ J"[Journal] OR "J Econom"[Journal] OR "J Eur Econ Assoc"[Journal] OR "Rand J Econ"[Journal])) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
LegSub_notNIH	("legislation and jurisprudence"[Subheading]) AND (("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) OR ("Q J Econ"[Journal] OR "J Econ Lit"[Journal] OR "J Polit Econ"[Journal] OR "Econometrica"[Journal] OR "J Econ Growth (Boston)"[Journal] OR "J financ econ"[Journal] OR "J Finance"[Journal] OR "Rev Econ Stud"[Journal] OR "J Econ Perspect"[Journal] OR "Am Econ Rev"[Journal] OR "Rev Financ Stud"[Journal] OR "J Monet Econ"[Journal] OR "J Labor Econ"[Journal] OR "Brookings Pap Econ Act"[Journal] OR "Econ J"[Journal] OR "J Econom"[Journal] OR "J Eur Econ Assoc"[Journal] OR "Rand J Econ"[Journal])) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
