Query_Name	Query
Total_NIH	("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Total_notNIH	("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
TotalDisease_NIH	("Diseases Category"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
TotalDisease_notNIH	("Diseases Category"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Cardio_NIH	("Cardiovascular Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Cardio_notNIH	("Cardiovascular Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Digestive_NIH	("Digestive System Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Digestive_notNIH	("Digestive System Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Endocrine_NIH	("Endocrine System Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Female Urogenital Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Endocrine_notNIH	("Endocrine System Diseases"[Mesh] NOT ("Neoplasms"[Mesh] OR "Pregnancy Complications"[Mesh] OR "Psychiatry and Psychology Category"[Mesh] OR "Female Urogenital Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Arbovirus Infections"[Mesh] OR "Malaria"[Mesh] OR "Tuberculosis"[Mesh] OR "Hemorrhagic Fevers, Viral"[Mesh])) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
