Query_Name	Query
Bact_NIH	("Bacterial Infections and Mycoses"[Mesh]) NOT ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Bact_Pub	("Bacterial Infections and Mycoses"[Mesh]) NOT ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) AND ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Bact_Priv	("Bacterial Infections and Mycoses"[Mesh]) NOT ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Chem_NIH	("Chemically-Induced Disorders"[Mesh]) NOT ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Chem_Pub	("Chemically-Induced Disorders"[Mesh]) NOT ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) AND ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Chem_Priv	("Chemically-Induced Disorders"[Mesh]) NOT ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Congenital_NIH	("Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[Mesh]) NOT ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Congenital_Pub	("Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[Mesh]) NOT ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) AND ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Congenital_Priv	("Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[Mesh]) NOT ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Envir_NIH	("Disorders of Environmental Origin"[Mesh]) NOT ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT ("Cardiovascular Diseases"[Mesh] OR "Digestive System Diseases"[Mesh] OR "Endocrine System Diseases"[Mesh] OR "Eye Diseases"[Mesh] OR "Female Urogenital Diseases and Pregnancy Complications"[Mesh] OR "Hemic and Lymphatic Diseases"[Mesh] OR "Immune System Diseases"[Mesh] OR "Male Urogenital Diseases"[Mesh] OR "Musculoskeletal Diseases"[Mesh] OR "Neoplasms"[Mesh] OR "Nervous System Diseases"[Mesh] OR "Neurocognitive Disorders"[Mesh] OR "Otorhinolaryngologic Diseases"[Mesh] OR "Stomatognathic Diseases"[Mesh] OR "Respiratory Tract Diseases"[Mesh] OR "Skin and Connective Tissue Diseases"[Mesh] OR "Psychiatry and Psychology Category"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
