Query_Name	Query
Cardio_NIH	("Cardiovascular Diseases"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Clinical Trial, Phase I"[Publication Type] OR "Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type] OR "Clinical Trial, Phase IV" [Publication Type] OR "Controlled Clinical Trial" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Cardio_USFG	("Cardiovascular Diseases"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Clinical Trial, Phase I"[Publication Type] OR "Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type] OR "Clinical Trial, Phase IV" [Publication Type] OR "Controlled Clinical Trial" [Publication Type]) AND ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Cardio_Fnd	("Cardiovascular Diseases"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Clinical Trial, Phase I"[Publication Type] OR "Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type] OR "Clinical Trial, Phase IV" [Publication Type] OR "Controlled Clinical Trial" [Publication Type]) AND ("Alzheimer's Association"[gr] OR "American Heart Association-American Stroke Association"[gr] OR "Autism Science Foundation"[gr] OR "Autism Speaks"[gr] OR "Cancer Research Institute"[gr] OR "Curie"[gr] OR "Damon Runyon Cancer Research Foundation"[gr] OR "Donaghue Foundation"[gr] OR "Doris Duke Charitable Foundation"[gr] OR "Foundation Fighting Blindness"[gr] OR "Howard Hughes Medical Institute"[gr] OR "JDRF"[gr] OR "LUNGevity Foundation"[gr] OR "Lymphoma Research Foundation"[gr] OR "National Psoriasis Foundation"[gr] OR "Pancreatic Cancer Action Network"[gr] OR "Parkinson’s Disease Foundation"[gr] OR "PCORI"[gr] OR "PEPFAR"[gr] OR "Susan G. Komen"[gr] OR "Thome Foundation"[gr] OR "Tuberous Sclerosis Alliance"[gr] OR "The V Foundation for Cancer Research"[gr] OR "Academy of Medical Sciences"[gr] OR "Action on Hearing Loss"[gr] OR "Alzheimer's Society"[gr] OR "Arthritis Research UK"[gr] OR "Austrian Science Research Fund"[gr] OR "Biotechnology and Biological Sciences Research Council"[gr] OR "Breast Cancer Now"[gr] OR "Bloodwise"[gr] OR "British Heart Foundation"[gr] OR "Canadian Institutes of Health Research"[gr] OR "Cancer Research UK"[gr] OR "Chief Scientist Office"[gr] OR "Department of Health"[gr] OR "Diabetes UK"[gr] OR "The Dunhill Medical Trust"[gr] OR "European Research Council"[gr] OR "Health Research Board"[gr] OR "Marie Curie"[gr] OR "Medical Research Council"[gr] OR "Motor Neurone Disease Association"[gr] OR "Multiple Sclerosis Society"[gr] OR "Myrovlytis Trust"[gr] OR "National Centre for the Replacement, Refinement and Reduction of Animals in Research"[gr] OR "Parkinson's UK"[gr] OR "Prostate Cancer UK"[gr] OR "Science Foundation Ireland"[gr] OR "Swiss National Science Foundation"[gr] OR "Telethon"[gr] OR "Versus Arthritis"[gr] OR "Wellcome Trust"[gr] OR "Wellcome Trust-DBT India Alliance"[gr] OR "World Health Organization"[gr] OR "Worldwide Cancer Research"[gr] OR "Yorkshire Cancer Research"[gr]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Cardio_Ind	("Cardiovascular Diseases"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Clinical Trial, Phase I"[Publication Type] OR "Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type] OR "Clinical Trial, Phase IV" [Publication Type] OR "Controlled Clinical Trial" [Publication Type]) NOT ("Research Support, Non-U.S. Gov't"[Publication Type]) NOT ("Alzheimer's Association"[gr] OR "American Heart Association-American Stroke Association"[gr] OR "Autism Science Foundation"[gr] OR "Autism Speaks"[gr] OR "Cancer Research Institute"[gr] OR "Curie"[gr] OR "Damon Runyon Cancer Research Foundation"[gr] OR "Donaghue Foundation"[gr] OR "Doris Duke Charitable Foundation"[gr] OR "Foundation Fighting Blindness"[gr] OR "Howard Hughes Medical Institute"[gr] OR "JDRF"[gr] OR "LUNGevity Foundation"[gr] OR "Lymphoma Research Foundation"[gr] OR "National Psoriasis Foundation"[gr] OR "Pancreatic Cancer Action Network"[gr] OR "Parkinson’s Disease Foundation"[gr] OR "PCORI"[gr] OR "PEPFAR"[gr] OR "Susan G. Komen"[gr] OR "Thome Foundation"[gr] OR "Tuberous Sclerosis Alliance"[gr] OR "The V Foundation for Cancer Research"[gr] OR "Academy of Medical Sciences"[gr] OR "Action on Hearing Loss"[gr] OR "Alzheimer's Society"[gr] OR "Arthritis Research UK"[gr] OR "Austrian Science Research Fund"[gr] OR "Biotechnology and Biological Sciences Research Council"[gr] OR "Breast Cancer Now"[gr] OR "Bloodwise"[gr] OR "British Heart Foundation"[gr] OR "Canadian Institutes of Health Research"[gr] OR "Cancer Research UK"[gr] OR "Chief Scientist Office"[gr] OR "Department of Health"[gr] OR "Diabetes UK"[gr] OR "The Dunhill Medical Trust"[gr] OR "European Research Council"[gr] OR "Health Research Board"[gr] OR "Marie Curie"[gr] OR "Medical Research Council"[gr] OR "Motor Neurone Disease Association"[gr] OR "Multiple Sclerosis Society"[gr] OR "Myrovlytis Trust"[gr] OR "National Centre for the Replacement, Refinement and Reduction of Animals in Research"[gr] OR "Parkinson's UK"[gr] OR "Prostate Cancer UK"[gr] OR "Science Foundation Ireland"[gr] OR "Swiss National Science Foundation"[gr] OR "Telethon"[gr] OR "Versus Arthritis"[gr] OR "Wellcome Trust"[gr] OR "Wellcome Trust-DBT India Alliance"[gr] OR "World Health Organization"[gr] OR "Worldwide Cancer Research"[gr] OR "Yorkshire Cancer Research"[gr]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
ChronicResp_NIH	("Respiration Disorders"[Mesh] OR "Respiratory Hypersensitivity"[Mesh] OR "Respiratory System Abnormalities"[Mesh] OR "Respiratory Tract Fistula"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Clinical Trial, Phase I"[Publication Type] OR "Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type] OR "Clinical Trial, Phase IV" [Publication Type] OR "Controlled Clinical Trial" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
ChronicResp_USFG	("Respiration Disorders"[Mesh] OR "Respiratory Hypersensitivity"[Mesh] OR "Respiratory System Abnormalities"[Mesh] OR "Respiratory Tract Fistula"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Clinical Trial, Phase I"[Publication Type] OR "Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type] OR "Clinical Trial, Phase IV" [Publication Type] OR "Controlled Clinical Trial" [Publication Type]) AND ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
ChronicResp_Fnd	("Respiration Disorders"[Mesh] OR "Respiratory Hypersensitivity"[Mesh] OR "Respiratory System Abnormalities"[Mesh] OR "Respiratory Tract Fistula"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Clinical Trial, Phase I"[Publication Type] OR "Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type] OR "Clinical Trial, Phase IV" [Publication Type] OR "Controlled Clinical Trial" [Publication Type]) AND ("Alzheimer's Association"[gr] OR "American Heart Association-American Stroke Association"[gr] OR "Autism Science Foundation"[gr] OR "Autism Speaks"[gr] OR "Cancer Research Institute"[gr] OR "Curie"[gr] OR "Damon Runyon Cancer Research Foundation"[gr] OR "Donaghue Foundation"[gr] OR "Doris Duke Charitable Foundation"[gr] OR "Foundation Fighting Blindness"[gr] OR "Howard Hughes Medical Institute"[gr] OR "JDRF"[gr] OR "LUNGevity Foundation"[gr] OR "Lymphoma Research Foundation"[gr] OR "National Psoriasis Foundation"[gr] OR "Pancreatic Cancer Action Network"[gr] OR "Parkinson’s Disease Foundation"[gr] OR "PCORI"[gr] OR "PEPFAR"[gr] OR "Susan G. Komen"[gr] OR "Thome Foundation"[gr] OR "Tuberous Sclerosis Alliance"[gr] OR "The V Foundation for Cancer Research"[gr] OR "Academy of Medical Sciences"[gr] OR "Action on Hearing Loss"[gr] OR "Alzheimer's Society"[gr] OR "Arthritis Research UK"[gr] OR "Austrian Science Research Fund"[gr] OR "Biotechnology and Biological Sciences Research Council"[gr] OR "Breast Cancer Now"[gr] OR "Bloodwise"[gr] OR "British Heart Foundation"[gr] OR "Canadian Institutes of Health Research"[gr] OR "Cancer Research UK"[gr] OR "Chief Scientist Office"[gr] OR "Department of Health"[gr] OR "Diabetes UK"[gr] OR "The Dunhill Medical Trust"[gr] OR "European Research Council"[gr] OR "Health Research Board"[gr] OR "Marie Curie"[gr] OR "Medical Research Council"[gr] OR "Motor Neurone Disease Association"[gr] OR "Multiple Sclerosis Society"[gr] OR "Myrovlytis Trust"[gr] OR "National Centre for the Replacement, Refinement and Reduction of Animals in Research"[gr] OR "Parkinson's UK"[gr] OR "Prostate Cancer UK"[gr] OR "Science Foundation Ireland"[gr] OR "Swiss National Science Foundation"[gr] OR "Telethon"[gr] OR "Versus Arthritis"[gr] OR "Wellcome Trust"[gr] OR "Wellcome Trust-DBT India Alliance"[gr] OR "World Health Organization"[gr] OR "Worldwide Cancer Research"[gr] OR "Yorkshire Cancer Research"[gr]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
ChronicResp_Ind	("Respiration Disorders"[Mesh] OR "Respiratory Hypersensitivity"[Mesh] OR "Respiratory System Abnormalities"[Mesh] OR "Respiratory Tract Fistula"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Clinical Trial, Phase I"[Publication Type] OR "Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type] OR "Clinical Trial, Phase IV" [Publication Type] OR "Controlled Clinical Trial" [Publication Type]) NOT ("Research Support, Non-U.S. Gov't"[Publication Type]) NOT ("Alzheimer's Association"[gr] OR "American Heart Association-American Stroke Association"[gr] OR "Autism Science Foundation"[gr] OR "Autism Speaks"[gr] OR "Cancer Research Institute"[gr] OR "Curie"[gr] OR "Damon Runyon Cancer Research Foundation"[gr] OR "Donaghue Foundation"[gr] OR "Doris Duke Charitable Foundation"[gr] OR "Foundation Fighting Blindness"[gr] OR "Howard Hughes Medical Institute"[gr] OR "JDRF"[gr] OR "LUNGevity Foundation"[gr] OR "Lymphoma Research Foundation"[gr] OR "National Psoriasis Foundation"[gr] OR "Pancreatic Cancer Action Network"[gr] OR "Parkinson’s Disease Foundation"[gr] OR "PCORI"[gr] OR "PEPFAR"[gr] OR "Susan G. Komen"[gr] OR "Thome Foundation"[gr] OR "Tuberous Sclerosis Alliance"[gr] OR "The V Foundation for Cancer Research"[gr] OR "Academy of Medical Sciences"[gr] OR "Action on Hearing Loss"[gr] OR "Alzheimer's Society"[gr] OR "Arthritis Research UK"[gr] OR "Austrian Science Research Fund"[gr] OR "Biotechnology and Biological Sciences Research Council"[gr] OR "Breast Cancer Now"[gr] OR "Bloodwise"[gr] OR "British Heart Foundation"[gr] OR "Canadian Institutes of Health Research"[gr] OR "Cancer Research UK"[gr] OR "Chief Scientist Office"[gr] OR "Department of Health"[gr] OR "Diabetes UK"[gr] OR "The Dunhill Medical Trust"[gr] OR "European Research Council"[gr] OR "Health Research Board"[gr] OR "Marie Curie"[gr] OR "Medical Research Council"[gr] OR "Motor Neurone Disease Association"[gr] OR "Multiple Sclerosis Society"[gr] OR "Myrovlytis Trust"[gr] OR "National Centre for the Replacement, Refinement and Reduction of Animals in Research"[gr] OR "Parkinson's UK"[gr] OR "Prostate Cancer UK"[gr] OR "Science Foundation Ireland"[gr] OR "Swiss National Science Foundation"[gr] OR "Telethon"[gr] OR "Versus Arthritis"[gr] OR "Wellcome Trust"[gr] OR "Wellcome Trust-DBT India Alliance"[gr] OR "World Health Organization"[gr] OR "Worldwide Cancer Research"[gr] OR "Yorkshire Cancer Research"[gr]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Kidney_NIH	("Diabetes Mellitus"[Mesh] OR "Kidney Diseases"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Clinical Trial, Phase I"[Publication Type] OR "Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type] OR "Clinical Trial, Phase IV" [Publication Type] OR "Controlled Clinical Trial" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Kidney_USFG	("Diabetes Mellitus"[Mesh] OR "Kidney Diseases"[Mesh]) AND ("N Engl J Med"[Journal] OR "Lancet"[Journal] OR "Lancet Respir Med"[Journal] OR "Lancet Public Health"[Journal] OR "Lancet Psychiatry"[Journal] OR "Lancet Planet Health"[Journal] OR "Lancet Oncol"[Journal] OR "Lancet Neurol"[Journal] OR "Lancet Infect Dis"[Journal] OR "Lancet Haematol"[Journal] OR "Lancet HIV"[Journal] OR "Lancet Glob Health"[Journal] OR "Lancet Gastroenterol Hepatol"[Journal] OR "Lancet Diabetes Endocrinol"[Journal] OR "Lancet Child Adolesc Health"[Journal] OR "Chem Rev"[Journal] OR "JAMA"[Journal] OR "J Am Med Assoc"[Journal] OR "Nat Rev Cancer"[Journal] OR "Nat Rev Genet"[Journal] OR "Nat Rev Immunol"[Journal] OR "Nat Rev Mol Cell Biol"[Journal] OR "Nature"[Journal] OR "Science"[Journal] OR "Chem Soc Rev"[Journal] OR "Nat Mater"[Journal] OR "Cell"[Journal]) NOT ("Clinical Trial, Phase I"[Publication Type] OR "Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type] OR "Clinical Trial, Phase IV" [Publication Type] OR "Controlled Clinical Trial" [Publication Type]) AND ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
