Query_Name	Query
Cardio_NIH	("Cardiovascular Diseases"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Cardio_notNIH	("Cardiovascular Diseases"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
ChronicResp_NIH	("Respiration Disorders"[Mesh] OR "Respiratory Hypersensitivity"[Mesh] OR "Respiratory System Abnormalities"[Mesh] OR "Respiratory Tract Fistula"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
ChronicResp_notNIH	("Respiration Disorders"[Mesh] OR "Respiratory Hypersensitivity"[Mesh] OR "Respiratory System Abnormalities"[Mesh] OR "Respiratory Tract Fistula"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Kidney_NIH	("Diabetes Mellitus"[Mesh] OR "Kidney Diseases"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Kidney_notNIH	("Diabetes Mellitus"[Mesh] OR "Kidney Diseases"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Digestive_NIH	("Digestive System Diseases"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Digestive_notNIH	("Digestive System Diseases"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Enteritis_NIH	("Enteritis"[Mesh] OR "Gastroenteritis"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Enteritis_notNIH	("Enteritis"[Mesh] OR "Gastroenteritis"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
STIs_NIH	("Sexually Transmitted Diseases"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
STIs_notNIH	("Sexually Transmitted Diseases"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Pregnancy_NIH	("Pregnancy Complications"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Pregnancy_notNIH	("Pregnancy Complications"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Mental_NIH	("Mental Disorders"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Mental_notNIH	("Mental Disorders"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Muscle_NIH	("Musculoskeletal Diseases"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Muscle_notNIH	("Musculoskeletal Diseases"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Tropic_NIH	("Malaria"[Mesh] OR "Chagas Disease"[Mesh] OR "Leishmaniasis"[Mesh] OR "Nematode Infections"[Mesh] OR "Trematode Infections"[Mesh] OR "Leprosy"[Mesh] OR "Hemorrhagic Fever, Ebola"[Mesh] OR "Zika Virus"[Mesh] OR "Dracunculiasis"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Tropic_notNIH	("Malaria"[Mesh] OR "Chagas Disease"[Mesh] OR "Leishmaniasis"[Mesh] OR "Nematode Infections"[Mesh] OR "Trematode Infections"[Mesh] OR "Leprosy"[Mesh] OR "Hemorrhagic Fever, Ebola"[Mesh] OR "Zika Virus"[Mesh] OR "Dracunculiasis"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Neoplasms_NIH	("Neoplasms"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Neoplasms_notNIH	("Neoplasms"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Neurologic_NIH	("Neurologic Manifestations"[Mesh]) AND ("Clinical Trial, Phase II" [Publication Type] OR "Clinical Trial, Phase III" [Publication Type]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
