Query_Name	Query
Pharma	("Pharmaceutical Preparations"[MeSH])
Chemicals	("Chemicals and Drugs Category"[MeSH] OR "Chemical Phenomena"[MeSH]) NOT ("Pharmaceutical Preparations"[MeSH] OR "Cells"[MeSH] OR "Organisms Category"[MeSH] OR "Phenomena and Processes Category"[MeSH] OR "Pharmacological Actions Category"[MeSH] OR "Environment and Public Health"[MeSH] OR "Health Care Economics and Organizations"[MeSH] OR "Health Care Facilities, Manpower, and Services"[MeSH] OR "Health Care Quality, Access, and Evaluation"[MeSH] OR "Health Services Administration"[MeSH] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH])
CellsOrgs	("Cells"[MeSH] OR "Organisms Category"[MeSH]) NOT ("Pharmaceutical Preparations"[MeSH] OR "Chemicals and Drugs Category"[MeSH] OR "Phenomena and Processes Category"[MeSH] OR "Pharmacological Actions Category"[MeSH] OR "Environment and Public Health"[MeSH] OR "Health Care Economics and Organizations"[MeSH] OR "Health Care Facilities, Manpower, and Services"[MeSH] OR "Health Care Quality, Access, and Evaluation"[MeSH] OR "Health Services Administration"[MeSH] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH])
PharmacolActions	("Pharmacological Actions Category"[MeSH]) NOT ("Pharmaceutical Preparations"[MeSH] OR "Chemicals and Drugs Category"[MeSH] OR "Phenomena and Processes Category"[MeSH] OR "Cells"[MeSH] OR "Organisms Category"[MeSH] OR "Environment and Public Health"[MeSH] OR "Health Care Economics and Organizations"[MeSH] OR "Health Care Facilities, Manpower, and Services"[MeSH] OR "Health Care Quality, Access, and Evaluation"[MeSH] OR "Health Services Administration"[MeSH] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH])
BioPhenom	("Phenomena and Processes Category"[MeSH]) NOT ("Chemical Phenomena"[MeSH] OR "Mathematical Concepts"[MeSH] OR "Physical Phenomena"[MeSH]) NOT ("Pharmaceutical Preparations"[MeSH] OR "Chemicals and Drugs Category"[MeSH] OR "Pharmacological Actions Category"[MeSH] OR "Cells"[MeSH] OR "Organisms Category"[MeSH] OR "Environment and Public Health"[MeSH] OR "Health Care Economics and Organizations"[MeSH] OR "Health Care Facilities, Manpower, and Services"[MeSH] OR "Health Care Quality, Access, and Evaluation"[MeSH] OR "Health Services Administration"[MeSH] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH])
EnvPH	("Environment and Public Health"[MeSH]) NOT ("Pharmaceutical Preparations"[MeSH] OR "Chemicals and Drugs Category"[MeSH] OR "Pharmacological Actions Category"[MeSH] OR "Cells"[MeSH] OR "Organisms Category"[MeSH] OR "Phenomena and Processes Category"[MeSH] OR "Health Care Economics and Organizations"[MeSH] OR "Health Care Facilities, Manpower, and Services"[MeSH] OR "Health Care Quality, Access, and Evaluation"[MeSH] OR "Health Services Administration"[MeSH] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH])
HealthEcon	("Health Care Economics and Organizations"[MeSH]) NOT ("Pharmaceutical Preparations"[MeSH] OR "Chemicals and Drugs Category"[MeSH] OR "Pharmacological Actions Category"[MeSH] OR "Cells"[MeSH] OR "Organisms Category"[MeSH] OR "Phenomena and Processes Category"[MeSH] OR "Environment and Public Health"[MeSH] OR "Health Care Facilities, Manpower, and Services"[MeSH] OR "Health Care Quality, Access, and Evaluation"[MeSH] OR "Health Services Administration"[MeSH] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH])
HealthAdmin	("Health Care Facilities, Manpower, and Services"[MeSH] OR "Health Care Quality, Access, and Evaluation"[MeSH] OR "Health Services Administration"[MeSH]) NOT ("Pharmaceutical Preparations"[MeSH] OR "Chemicals and Drugs Category"[MeSH] OR "Cells"[MeSH] OR "Organisms Category"[MeSH] OR "Phenomena and Processes Category"[MeSH] OR "Pharmacological Actions Category"[MeSH] OR "Environment and Public Health"[MeSH] OR "Health Care Economics and Organizations"[MeSH] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH])
Tech	("Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH]) NOT ("Pharmaceutical Preparations"[MeSH] OR "Chemicals and Drugs Category"[MeSH] OR "Cells"[MeSH] OR "Organisms Category"[MeSH] OR "Phenomena and Processes Category"[MeSH] OR "Pharmacological Actions Category"[MeSH] OR "Environment and Public Health"[MeSH] OR "Health Care Economics and Organizations"[MeSH] OR "Health Care Facilities, Manpower, and Services"[MeSH] OR "Health Care Quality, Access, and Evaluation"[MeSH] OR "Health Services Administration"[MeSH])
Mult	("Chemicals and Drugs Category"[MeSH] OR "Chemical Phenomena"[MeSH] OR "Cells"[MeSH] OR "Organisms Category"[MeSH] OR "Pharmacological Actions Category"[MeSH] OR "Phenomena and Processes Category"[MeSH] OR "Environment and Public Health"[MeSH] OR "Health Care Economics and Organizations"[MeSH] OR "Health Care Facilities, Manpower, and Services"[MeSH] OR "Health Care Quality, Access, and Evaluation"[MeSH] OR "Health Services Administration"[MeSH] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH]) NOT ("Pharmaceutical Preparations"[MeSH] OR "Mathematical Concepts"[MeSH] OR "Physical Phenomena"[MeSH])
