Query_Name	Query
Pharma	("Drug Combinations"[Mesh] OR "Drugs, Essential"[Mesh] OR "Drugs, Generic"[Mesh] OR "Drugs, Investigational"[Mesh] OR "Pharmaceutic Aids"[Mesh] OR "Pharmaceutical Preparations, Dental"[Mesh] OR "Placebos"[Mesh] OR "Prescription Drugs"[Mesh] OR "Prodrugs"[Mesh] OR "Substandard Drugs"[Mesh] OR "Synthetic Drugs"[Mesh] OR "drug therapy"[Subheading])
Chemicals	("Chemicals and Drugs Category"[MeSH Major Topic] OR "Chemical Phenomena"[MeSH Major Topic]) NOT ("Pharmaceutical Preparations"[MeSH Major Topic] OR "Cells"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Environment and Public Health"[MeSH Major Topic] OR "Health Care Economics and Organizations"[MeSH Major Topic] OR "Health Care Facilities, Manpower, and Services"[MeSH Major Topic] OR "Health Care Quality, Access, and Evaluation"[MeSH Major Topic] OR "Health Services Administration"[MeSH Major Topic] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH Major Topic])
CellsOrgs	("Cells"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic]) NOT ("Pharmaceutical Preparations"[MeSH Major Topic] OR "Chemicals and Drugs Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Environment and Public Health"[MeSH Major Topic] OR "Health Care Economics and Organizations"[MeSH Major Topic] OR "Health Care Facilities, Manpower, and Services"[MeSH Major Topic] OR "Health Care Quality, Access, and Evaluation"[MeSH Major Topic] OR "Health Services Administration"[MeSH Major Topic] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH Major Topic])
PharmacolActions	("Pharmacological Actions Category"[MeSH Major Topic]) NOT ("Pharmaceutical Preparations"[MeSH Major Topic] OR "Chemicals and Drugs Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic] OR "Cells"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Environment and Public Health"[MeSH Major Topic] OR "Health Care Economics and Organizations"[MeSH Major Topic] OR "Health Care Facilities, Manpower, and Services"[MeSH Major Topic] OR "Health Care Quality, Access, and Evaluation"[MeSH Major Topic] OR "Health Services Administration"[MeSH Major Topic] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH Major Topic])
BioPhenom	("Phenomena and Processes Category"[MeSH Major Topic]) NOT ("Chemical Phenomena"[MeSH Major Topic] OR "Mathematical Concepts"[MeSH Major Topic] OR "Physical Phenomena"[MeSH Major Topic]) NOT ("Pharmaceutical Preparations"[MeSH Major Topic] OR "Chemicals and Drugs Category"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Cells"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Environment and Public Health"[MeSH Major Topic] OR "Health Care Economics and Organizations"[MeSH Major Topic] OR "Health Care Facilities, Manpower, and Services"[MeSH Major Topic] OR "Health Care Quality, Access, and Evaluation"[MeSH Major Topic] OR "Health Services Administration"[MeSH Major Topic] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH Major Topic])
EnvPH	("Environment and Public Health"[MeSH Major Topic]) NOT ("Pharmaceutical Preparations"[MeSH Major Topic] OR "Chemicals and Drugs Category"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Cells"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic] OR "Health Care Economics and Organizations"[MeSH Major Topic] OR "Health Care Facilities, Manpower, and Services"[MeSH Major Topic] OR "Health Care Quality, Access, and Evaluation"[MeSH Major Topic] OR "Health Services Administration"[MeSH Major Topic] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH Major Topic])
HealthEcon	("Health Care Economics and Organizations"[MeSH Major Topic]) NOT ("Pharmaceutical Preparations"[MeSH Major Topic] OR "Chemicals and Drugs Category"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Cells"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic] OR "Environment and Public Health"[MeSH Major Topic] OR "Health Care Facilities, Manpower, and Services"[MeSH Major Topic] OR "Health Care Quality, Access, and Evaluation"[MeSH Major Topic] OR "Health Services Administration"[MeSH Major Topic] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH Major Topic])
HealthAdmin	("Health Care Facilities, Manpower, and Services"[MeSH Major Topic] OR "Health Care Quality, Access, and Evaluation"[MeSH Major Topic] OR "Health Services Administration"[MeSH Major Topic]) NOT ("Pharmaceutical Preparations"[MeSH Major Topic] OR "Chemicals and Drugs Category"[MeSH Major Topic] OR "Cells"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Environment and Public Health"[MeSH Major Topic] OR "Health Care Economics and Organizations"[MeSH Major Topic] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH Major Topic])
Tech	("Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH Major Topic]) NOT ("Pharmaceutical Preparations"[MeSH Major Topic] OR "Chemicals and Drugs Category"[MeSH Major Topic] OR "Cells"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Environment and Public Health"[MeSH Major Topic] OR "Health Care Economics and Organizations"[MeSH Major Topic] OR "Health Care Facilities, Manpower, and Services"[MeSH Major Topic] OR "Health Care Quality, Access, and Evaluation"[MeSH Major Topic] OR "Health Services Administration"[MeSH Major Topic])
Mult	("Chemicals and Drugs Category"[MeSH Major Topic] OR "Chemical Phenomena"[MeSH Major Topic] OR "Cells"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic] OR "Environment and Public Health"[MeSH Major Topic] OR "Health Care Economics and Organizations"[MeSH Major Topic] OR "Health Care Facilities, Manpower, and Services"[MeSH Major Topic] OR "Health Care Quality, Access, and Evaluation"[MeSH Major Topic] OR "Health Services Administration"[MeSH Major Topic] OR "Analytical, Diagnostic and Therapeutic Techniques and Equipment Category"[MeSH Major Topic]) NOT ("Pharmaceutical Preparations"[MeSH Major Topic] OR "Mathematical Concepts"[MeSH Major Topic] OR "Physical Phenomena"[MeSH Major Topic])
