Query_Name	Query
analysis	("analysis"[Subheading]) NOT ("anatomy and histology"[Subheading] OR "chemistry"[Subheading] OR "classification"[Subheading] OR "diagnosis"[Subheading] OR "drug effects"[Subheading] OR "education"[Subheading] OR "ethics"[Subheading] OR "etiology"[Subheading] OR "history"[Subheading] OR "injuries"[Subheading] OR "instrumentation"[Subheading] OR "methods"[Subheading] OR "organization and administration"[Subheading] OR "pathogenicity"[Subheading] OR "pharmacology"[Subheading] OR "physiology"[Subheading] OR "psychology"[Subheading] OR "radiation"[Subheading] OR "statistics and numerical data"[Subheading] OR "therapeutic use"[Subheading] OR "therapy"[Subheading])
anatomy_histology	("anatomy and histology"[Subheading]) NOT ("analysis"[Subheading] OR "chemistry"[Subheading] OR "classification"[Subheading] OR "diagnosis"[Subheading] OR "drug effects"[Subheading] OR "education"[Subheading] OR "ethics"[Subheading] OR "etiology"[Subheading] OR "history"[Subheading] OR "injuries"[Subheading] OR "instrumentation"[Subheading] OR "methods"[Subheading] OR "organization and administration"[Subheading] OR "pathogenicity"[Subheading] OR "pharmacology"[Subheading] OR "physiology"[Subheading] OR "psychology"[Subheading] OR "radiation"[Subheading] OR "statistics and numerical data"[Subheading] OR "therapeutic use"[Subheading] OR "therapy"[Subheading])
chemistry	("chemistry"[Subheading]) NOT ("analysis"[Subheading] OR "anatomy and histology"[Subheading] OR "classification"[Subheading] OR "diagnosis"[Subheading] OR "drug effects"[Subheading] OR "education"[Subheading] OR "ethics"[Subheading] OR "etiology"[Subheading] OR "history"[Subheading] OR "injuries"[Subheading] OR "instrumentation"[Subheading] OR "methods"[Subheading] OR "organization and administration"[Subheading] OR "pathogenicity"[Subheading] OR "pharmacology"[Subheading] OR "physiology"[Subheading] OR "psychology"[Subheading] OR "radiation"[Subheading] OR "statistics and numerical data"[Subheading] OR "therapeutic use"[Subheading] OR "therapy"[Subheading])
classification	("classification"[Subheading]) NOT ("analysis"[Subheading] OR "anatomy and histology"[Subheading] OR "chemistry"[Subheading] OR "diagnosis"[Subheading] OR "drug effects"[Subheading] OR "education"[Subheading] OR "ethics"[Subheading] OR "etiology"[Subheading] OR "history"[Subheading] OR "injuries"[Subheading] OR "instrumentation"[Subheading] OR "methods"[Subheading] OR "organization and administration"[Subheading] OR "pathogenicity"[Subheading] OR "pharmacology"[Subheading] OR "physiology"[Subheading] OR "psychology"[Subheading] OR "radiation"[Subheading] OR "statistics and numerical data"[Subheading] OR "therapeutic use"[Subheading] OR "therapy"[Subheading])
diagnosis	("diagnosis"[Subheading]) NOT ("analysis"[Subheading] OR "anatomy and histology"[Subheading] OR "chemistry"[Subheading] OR "classification"[Subheading] OR "drug effects"[Subheading] OR "education"[Subheading] OR "ethics"[Subheading] OR "etiology"[Subheading] OR "history"[Subheading] OR "injuries"[Subheading] OR "instrumentation"[Subheading] OR "methods"[Subheading] OR "organization and administration"[Subheading] OR "pathogenicity"[Subheading] OR "pharmacology"[Subheading] OR "physiology"[Subheading] OR "psychology"[Subheading] OR "radiation"[Subheading] OR "statistics and numerical data"[Subheading] OR "therapeutic use"[Subheading] OR "therapy"[Subheading])
drug_effects	("drug effects"[Subheading]) NOT ("analysis"[Subheading] OR "anatomy and histology"[Subheading] OR "chemistry"[Subheading] OR "classification"[Subheading] OR "diagnosis"[Subheading] OR "education"[Subheading] OR "ethics"[Subheading] OR "etiology"[Subheading] OR "history"[Subheading] OR "injuries"[Subheading] OR "instrumentation"[Subheading] OR "methods"[Subheading] OR "organization and administration"[Subheading] OR "pathogenicity"[Subheading] OR "pharmacology"[Subheading] OR "physiology"[Subheading] OR "psychology"[Subheading] OR "radiation"[Subheading] OR "statistics and numerical data"[Subheading] OR "therapeutic use"[Subheading] OR "therapy"[Subheading])
education	("education"[Subheading]) NOT ("analysis"[Subheading] OR "anatomy and histology"[Subheading] OR "chemistry"[Subheading] OR "classification"[Subheading] OR "diagnosis"[Subheading] OR "drug effects"[Subheading] OR "ethics"[Subheading] OR "etiology"[Subheading] OR "history"[Subheading] OR "injuries"[Subheading] OR "instrumentation"[Subheading] OR "methods"[Subheading] OR "organization and administration"[Subheading] OR "pathogenicity"[Subheading] OR "pharmacology"[Subheading] OR "physiology"[Subheading] OR "psychology"[Subheading] OR "radiation"[Subheading] OR "statistics and numerical data"[Subheading] OR "therapeutic use"[Subheading] OR "therapy"[Subheading])
ethics	("ethics"[Subheading]) NOT ("analysis"[Subheading] OR "anatomy and histology"[Subheading] OR "chemistry"[Subheading] OR "classification"[Subheading] OR "diagnosis"[Subheading] OR "drug effects"[Subheading] OR "education"[Subheading] OR "etiology"[Subheading] OR "history"[Subheading] OR "injuries"[Subheading] OR "instrumentation"[Subheading] OR "methods"[Subheading] OR "organization and administration"[Subheading] OR "pathogenicity"[Subheading] OR "pharmacology"[Subheading] OR "physiology"[Subheading] OR "psychology"[Subheading] OR "radiation"[Subheading] OR "statistics and numerical data"[Subheading] OR "therapeutic use"[Subheading] OR "therapy"[Subheading])
etiology	("etiology"[Subheading]) NOT ("analysis"[Subheading] OR "anatomy and histology"[Subheading] OR "chemistry"[Subheading] OR "classification"[Subheading] OR "diagnosis"[Subheading] OR "drug effects"[Subheading] OR "education"[Subheading] OR "ethics"[Subheading] OR "history"[Subheading] OR "injuries"[Subheading] OR "instrumentation"[Subheading] OR "methods"[Subheading] OR "organization and administration"[Subheading] OR "pathogenicity"[Subheading] OR "pharmacology"[Subheading] OR "physiology"[Subheading] OR "psychology"[Subheading] OR "radiation"[Subheading] OR "statistics and numerical data"[Subheading] OR "therapeutic use"[Subheading] OR "therapy"[Subheading])
history	("history"[Subheading]) NOT ("analysis"[Subheading] OR "anatomy and histology"[Subheading] OR "chemistry"[Subheading] OR "classification"[Subheading] OR "diagnosis"[Subheading] OR "drug effects"[Subheading] OR "education"[Subheading] OR "ethics"[Subheading] OR "etiology"[Subheading] OR "injuries"[Subheading] OR "instrumentation"[Subheading] OR "methods"[Subheading] OR "organization and administration"[Subheading] OR "pathogenicity"[Subheading] OR "pharmacology"[Subheading] OR "physiology"[Subheading] OR "psychology"[Subheading] OR "radiation"[Subheading] OR "statistics and numerical data"[Subheading] OR "therapeutic use"[Subheading] OR "therapy"[Subheading])
injuries	("injuries"[Subheading]) NOT ("analysis"[Subheading] OR "anatomy and histology"[Subheading] OR "chemistry"[Subheading] OR "classification"[Subheading] OR "diagnosis"[Subheading] OR "drug effects"[Subheading] OR "education"[Subheading] OR "ethics"[Subheading] OR "etiology"[Subheading] OR "history"[Subheading] OR "instrumentation"[Subheading] OR "methods"[Subheading] OR "organization and administration"[Subheading] OR "pathogenicity"[Subheading] OR "pharmacology"[Subheading] OR "physiology"[Subheading] OR "psychology"[Subheading] OR "radiation"[Subheading] OR "statistics and numerical data"[Subheading] OR "therapeutic use"[Subheading] OR "therapy"[Subheading])
