Query_Name	Query
alltherapy	("therapeutic use"[Subheading] OR "therapy"[Subheading])
dosage	("administration and dosage"[Subheading]) NOT ("adverse effects"[Subheading] OR "poisoning"[Subheading] OR "diet therapy"[Subheading] OR "drug therapy"[Subheading] OR "nursing"[Subheading] OR "prevention and control"[Subheading] OR "radiotherapy"[Subheading] OR "rehabilitation"[Subheading] OR "surgery"[Subheading])
adverse	("adverse effects"[Subheading]) NOT ("administration and dosage"[Subheading] OR "poisoning"[Subheading] OR "diet therapy"[Subheading] OR "drug therapy"[Subheading] OR "nursing"[Subheading] OR "prevention and control"[Subheading] OR "radiotherapy"[Subheading] OR "rehabilitation"[Subheading] OR "surgery"[Subheading])
poisoning	("poisoning"[Subheading]) NOT ("administration and dosage"[Subheading] OR "adverse effects"[Subheading] OR "diet therapy"[Subheading] OR "drug therapy"[Subheading] OR "nursing"[Subheading] OR "prevention and control"[Subheading] OR "radiotherapy"[Subheading] OR "rehabilitation"[Subheading] OR "surgery"[Subheading])
diet	("diet therapy"[Subheading]) NOT ("administration and dosage"[Subheading] OR "adverse effects"[Subheading] OR "poisoning"[Subheading] OR "drug therapy"[Subheading] OR "nursing"[Subheading] OR "prevention and control"[Subheading] OR "radiotherapy"[Subheading] OR "rehabilitation"[Subheading] OR "surgery"[Subheading])
drugs	("drug therapy"[Subheading]) NOT ("administration and dosage"[Subheading] OR "adverse effects"[Subheading] OR "poisoning"[Subheading] OR "diet therapy"[Subheading] OR "nursing"[Subheading] OR "prevention and control"[Subheading] OR "radiotherapy"[Subheading] OR "rehabilitation"[Subheading] OR "surgery"[Subheading])
nursing	("nursing"[Subheading]) NOT ("administration and dosage"[Subheading] OR "adverse effects"[Subheading] OR "poisoning"[Subheading] OR "diet therapy"[Subheading] OR "drug therapy"[Subheading] OR "prevention and control"[Subheading] OR "radiotherapy"[Subheading] OR "rehabilitation"[Subheading] OR "surgery"[Subheading])
prevention	("prevention and control"[Subheading]) NOT ("administration and dosage"[Subheading] OR "adverse effects"[Subheading] OR "poisoning"[Subheading] OR "diet therapy"[Subheading] OR "drug therapy"[Subheading] OR "nursing"[Subheading] OR "radiotherapy"[Subheading] OR "rehabilitation"[Subheading] OR "surgery"[Subheading])
radio	("radiotherapy"[Subheading]) NOT ("administration and dosage"[Subheading] OR "adverse effects"[Subheading] OR "poisoning"[Subheading] OR "diet therapy"[Subheading] OR "drug therapy"[Subheading] OR "nursing"[Subheading] OR "prevention and control"[Subheading] OR "rehabilitation"[Subheading] OR "surgery"[Subheading])
rehab	("rehabilitation"[Subheading]) NOT ("administration and dosage"[Subheading] OR "adverse effects"[Subheading] OR "poisoning"[Subheading] OR "diet therapy"[Subheading] OR "drug therapy"[Subheading] OR "nursing"[Subheading] OR "prevention and control"[Subheading] OR "radiotherapy"[Subheading] OR "surgery"[Subheading])
surgery	("surgery"[Subheading]) NOT ("administration and dosage"[Subheading] OR "adverse effects"[Subheading] OR "poisoning"[Subheading] OR "diet therapy"[Subheading] OR "drug therapy"[Subheading] OR "nursing"[Subheading] OR "prevention and control"[Subheading] OR "radiotherapy"[Subheading] OR "rehabilitation"[Subheading])
