Query_Name	Query
AllPharma	("Pharmaceutical Preparations"[MeSH Major Topic])
ContSub	("Controlled Substances"[MeSH Major Topic]) NOT ("Dosage Forms"[MeSH Major Topic] OR "Drug Combinations"[MeSH Major Topic] OR "Drugs, Chinese Herbal"[MeSH Major Topic] OR "Materia Medica"[MeSH Major Topic] OR "Plant Extracts"[MeSH Major Topic] OR "Drugs, Essential"[MeSH Major Topic] OR "Drugs, Generic"[MeSH Major Topic] OR "Drugs, Investigational"[MeSH Major Topic] OR "Illicit Drugs"[MeSH Major Topic] OR "Medical Marijuana"[MeSH Major Topic] OR "Nonprescription Drugs"[MeSH Major Topic] OR "Prescription Drugs"[MeSH Major Topic] OR "Substandard Drugs"[MeSH Major Topic] OR "Nostrums"[MeSH Major Topic])
Dosage	("Dosage Forms"[MeSH Major Topic]) NOT ("Controlled Substances"[MeSH Major Topic] OR "Drug Combinations"[MeSH Major Topic] OR "Drugs, Chinese Herbal"[MeSH Major Topic] OR "Materia Medica"[MeSH Major Topic] OR "Plant Extracts"[MeSH Major Topic] OR "Drugs, Essential"[MeSH Major Topic] OR "Drugs, Generic"[MeSH Major Topic] OR "Drugs, Investigational"[MeSH Major Topic] OR "Illicit Drugs"[MeSH Major Topic] OR "Medical Marijuana"[MeSH Major Topic] OR "Nonprescription Drugs"[MeSH Major Topic] OR "Prescription Drugs"[MeSH Major Topic] OR "Substandard Drugs"[MeSH Major Topic] OR "Nostrums"[MeSH Major Topic])
Combos	("Drug Combinations"[MeSH Major Topic]) NOT ("Controlled Substances"[MeSH Major Topic] OR "Dosage Forms"[MeSH Major Topic] OR "Drugs, Chinese Herbal"[MeSH Major Topic] OR "Materia Medica"[MeSH Major Topic] OR "Plant Extracts"[MeSH Major Topic] OR "Drugs, Essential"[MeSH Major Topic] OR "Drugs, Generic"[MeSH Major Topic] OR "Drugs, Investigational"[MeSH Major Topic] OR "Illicit Drugs"[MeSH Major Topic] OR "Medical Marijuana"[MeSH Major Topic] OR "Nonprescription Drugs"[MeSH Major Topic] OR "Prescription Drugs"[MeSH Major Topic] OR "Substandard Drugs"[MeSH Major Topic] OR "Nostrums"[MeSH Major Topic])
NatDrugs	("Drugs, Chinese Herbal"[MeSH Major Topic] OR "Materia Medica"[MeSH Major Topic] OR "Plant Extracts"[MeSH Major Topic]) NOT ("Controlled Substances"[MeSH Major Topic] OR "Dosage Forms"[MeSH Major Topic] OR "Drug Combinations"[MeSH Major Topic] OR "Drugs, Essential"[MeSH Major Topic] OR "Drugs, Generic"[MeSH Major Topic] OR "Drugs, Investigational"[MeSH Major Topic] OR "Illicit Drugs"[MeSH Major Topic] OR "Medical Marijuana"[MeSH Major Topic] OR "Nonprescription Drugs"[MeSH Major Topic] OR "Prescription Drugs"[MeSH Major Topic] OR "Substandard Drugs"[MeSH Major Topic] OR "Nostrums"[MeSH Major Topic])
EssDrugs	("Drugs, Essential"[MeSH Major Topic]) NOT ("Controlled Substances"[MeSH Major Topic] OR "Dosage Forms"[MeSH Major Topic] OR "Drug Combinations"[MeSH Major Topic] OR "Drugs, Chinese Herbal"[MeSH Major Topic] OR "Materia Medica"[MeSH Major Topic] OR "Plant Extracts"[MeSH Major Topic] OR "Drugs, Generic"[MeSH Major Topic] OR "Drugs, Investigational"[MeSH Major Topic] OR "Illicit Drugs"[MeSH Major Topic] OR "Medical Marijuana"[MeSH Major Topic] OR "Nonprescription Drugs"[MeSH Major Topic] OR "Prescription Drugs"[MeSH Major Topic] OR "Substandard Drugs"[MeSH Major Topic] OR "Nostrums"[MeSH Major Topic])
GenDrugs	("Drugs, Generic"[MeSH Major Topic]) NOT ("Controlled Substances"[MeSH Major Topic] OR "Dosage Forms"[MeSH Major Topic] OR "Drug Combinations"[MeSH Major Topic] OR "Drugs, Chinese Herbal"[MeSH Major Topic] OR "Materia Medica"[MeSH Major Topic] OR "Plant Extracts"[MeSH Major Topic] OR "Drugs, Essential"[MeSH Major Topic] OR "Drugs, Investigational"[MeSH Major Topic] OR "Illicit Drugs"[MeSH Major Topic] OR "Medical Marijuana"[MeSH Major Topic] OR "Nonprescription Drugs"[MeSH Major Topic] OR "Prescription Drugs"[MeSH Major Topic] OR "Substandard Drugs"[MeSH Major Topic] OR "Nostrums"[MeSH Major Topic])
InvDrugs	("Drugs, Investigational"[MeSH Major Topic]) NOT ("Controlled Substances"[MeSH Major Topic] OR "Dosage Forms"[MeSH Major Topic] OR "Drug Combinations"[MeSH Major Topic] OR "Drugs, Chinese Herbal"[MeSH Major Topic] OR "Materia Medica"[MeSH Major Topic] OR "Plant Extracts"[MeSH Major Topic] OR "Drugs, Essential"[MeSH Major Topic] OR "Drugs, Generic"[MeSH Major Topic] OR "Illicit Drugs"[MeSH Major Topic] OR "Medical Marijuana"[MeSH Major Topic] OR "Nonprescription Drugs"[MeSH Major Topic] OR "Prescription Drugs"[MeSH Major Topic] OR "Substandard Drugs"[MeSH Major Topic] OR "Nostrums"[MeSH Major Topic])
IllicitDrugs	("Illicit Drugs"[MeSH Major Topic] OR "Medical Marijuana"[MeSH Major Topic]) NOT ("Controlled Substances"[MeSH Major Topic] OR "Dosage Forms"[MeSH Major Topic] OR "Drug Combinations"[MeSH Major Topic] OR "Drugs, Chinese Herbal"[MeSH Major Topic] OR "Materia Medica"[MeSH Major Topic] OR "Plant Extracts"[MeSH Major Topic] OR "Drugs, Essential"[MeSH Major Topic] OR "Drugs, Generic"[MeSH Major Topic] OR "Drugs, Investigational"[MeSH Major Topic] OR "Medical Marijuana"[MeSH Major Topic] OR "Nonprescription Drugs"[MeSH Major Topic] OR "Prescription Drugs"[MeSH Major Topic] OR "Substandard Drugs"[MeSH Major Topic] OR "Nostrums"[MeSH Major Topic])
NonpreDrugs	("Nonprescription Drugs"[MeSH Major Topic]) NOT ("Controlled Substances"[MeSH Major Topic] OR "Dosage Forms"[MeSH Major Topic] OR "Drug Combinations"[MeSH Major Topic] OR "Drugs, Chinese Herbal"[MeSH Major Topic] OR "Materia Medica"[MeSH Major Topic] OR "Plant Extracts"[MeSH Major Topic] OR "Drugs, Essential"[MeSH Major Topic] OR "Drugs, Generic"[MeSH Major Topic] OR "Drugs, Investigational"[MeSH Major Topic] OR "Illicit Drugs"[MeSH Major Topic] OR "Medical Marijuana"[MeSH Major Topic] OR "Prescription Drugs"[MeSH Major Topic] OR "Substandard Drugs"[MeSH Major Topic] OR "Nostrums"[MeSH Major Topic])
