Query_Name	Query
Dis_NIH	AND ("Cardiovascular Diseases"[MeSH Major Topic] OR "Digestive System Diseases"[MeSH Major Topic] OR "Endocrine System Diseases"[MeSH Major Topic] OR "Eye Diseases"[MeSH Major Topic] OR "Female Urogenital Diseases and Pregnancy Complications"[MeSH Major Topic] OR "Hemic and Lymphatic Diseases"[MeSH Major Topic] OR "Immune System Diseases"[MeSH Major Topic] OR "Male Urogenital Diseases"[MeSH Major Topic] OR "Musculoskeletal Diseases"[MeSH Major Topic] OR "Neoplasms"[MeSH Major Topic] OR "Nervous System Diseases"[MeSH Major Topic] OR "Neurocognitive Disorders"[MeSH Major Topic] OR "Otorhinolaryngologic Diseases"[MeSH Major Topic] OR "Stomatognathic Diseases"[MeSH Major Topic] OR "Respiratory Tract Diseases"[MeSH Major Topic] OR "Skin and Connective Tissue Diseases"[MeSH Major Topic] OR "Psychiatry and Psychology Category"[MeSH Major Topic] OR "Arbovirus Infections"[MeSH Major Topic] OR "Malaria"[MeSH Major Topic] OR "Tuberculosis"[MeSH Major Topic] OR "Hemorrhagic Fevers, Viral"[MeSH Major Topic]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Dis_Priv	AND ("Cardiovascular Diseases"[MeSH Major Topic] OR "Digestive System Diseases"[MeSH Major Topic] OR "Endocrine System Diseases"[MeSH Major Topic] OR "Eye Diseases"[MeSH Major Topic] OR "Female Urogenital Diseases and Pregnancy Complications"[MeSH Major Topic] OR "Hemic and Lymphatic Diseases"[MeSH Major Topic] OR "Immune System Diseases"[MeSH Major Topic] OR "Male Urogenital Diseases"[MeSH Major Topic] OR "Musculoskeletal Diseases"[MeSH Major Topic] OR "Neoplasms"[MeSH Major Topic] OR "Nervous System Diseases"[MeSH Major Topic] OR "Neurocognitive Disorders"[MeSH Major Topic] OR "Otorhinolaryngologic Diseases"[MeSH Major Topic] OR "Stomatognathic Diseases"[MeSH Major Topic] OR "Respiratory Tract Diseases"[MeSH Major Topic] OR "Skin and Connective Tissue Diseases"[MeSH Major Topic] OR "Psychiatry and Psychology Category"[MeSH Major Topic] OR "Arbovirus Infections"[MeSH Major Topic] OR "Malaria"[MeSH Major Topic] OR "Tuberculosis"[MeSH Major Topic] OR "Hemorrhagic Fevers, Viral"[MeSH Major Topic]) NOT ("Research Support, Non-U.S. Gov't"[Publication Type]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Mech_NIH	AND ("Bacterial Infections and Mycoses"[MeSH Major Topic] OR "Chemically-Induced Disorders"[MeSH Major Topic] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[MeSH Major Topic] OR "Disorders of Environmental Origin"[MeSH Major Topic] OR "Nutritional and Metabolic Diseases"[MeSH Major Topic] OR "Occupational Diseases"[MeSH Major Topic] OR "Parasitic Diseases"[MeSH Major Topic] OR "Pathological Conditions, Signs and Symptoms"[MeSH Major Topic] OR "Virus Diseases"[MeSH Major Topic] OR "Wounds and Injuries"[MeSH Major Topic]) NOT ("Cardiovascular Diseases"[MeSH Major Topic] OR "Digestive System Diseases"[MeSH Major Topic] OR "Endocrine System Diseases"[MeSH Major Topic] OR "Eye Diseases"[MeSH Major Topic] OR "Female Urogenital Diseases and Pregnancy Complications"[MeSH Major Topic] OR "Hemic and Lymphatic Diseases"[MeSH Major Topic] OR "Immune System Diseases"[MeSH Major Topic] OR "Male Urogenital Diseases"[MeSH Major Topic] OR "Musculoskeletal Diseases"[MeSH Major Topic] OR "Neoplasms"[MeSH Major Topic] OR "Nervous System Diseases"[MeSH Major Topic] OR "Neurocognitive Disorders"[MeSH Major Topic] OR "Otorhinolaryngologic Diseases"[MeSH Major Topic] OR "Stomatognathic Diseases"[MeSH Major Topic] OR "Respiratory Tract Diseases"[MeSH Major Topic] OR "Skin and Connective Tissue Diseases"[MeSH Major Topic] OR "Psychiatry and Psychology Category"[MeSH Major Topic] OR "Arbovirus Infections"[MeSH Major Topic] OR "Malaria"[MeSH Major Topic] OR "Tuberculosis"[MeSH Major Topic] OR "Hemorrhagic Fevers, Viral"[MeSH Major Topic]) NOT ("Anatomy Category"[MeSH Major Topic] OR "Biological Science Disciplines"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic]) NOT ("Chemicals and Drugs Category"[MeSH Major Topic] OR "Chemistry"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Chemical Phenomena"[MeSH Major Topic]) NOT ("Physics"[MeSH Major Topic] OR "Physical Phenomena"[MeSH Major Topic]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Mech_Priv	AND ("Bacterial Infections and Mycoses"[MeSH Major Topic] OR "Chemically-Induced Disorders"[MeSH Major Topic] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[MeSH Major Topic] OR "Disorders of Environmental Origin"[MeSH Major Topic] OR "Nutritional and Metabolic Diseases"[MeSH Major Topic] OR "Occupational Diseases"[MeSH Major Topic] OR "Parasitic Diseases"[MeSH Major Topic] OR "Pathological Conditions, Signs and Symptoms"[MeSH Major Topic] OR "Virus Diseases"[MeSH Major Topic] OR "Wounds and Injuries"[MeSH Major Topic]) NOT ("Cardiovascular Diseases"[MeSH Major Topic] OR "Digestive System Diseases"[MeSH Major Topic] OR "Endocrine System Diseases"[MeSH Major Topic] OR "Eye Diseases"[MeSH Major Topic] OR "Female Urogenital Diseases and Pregnancy Complications"[MeSH Major Topic] OR "Hemic and Lymphatic Diseases"[MeSH Major Topic] OR "Immune System Diseases"[MeSH Major Topic] OR "Male Urogenital Diseases"[MeSH Major Topic] OR "Musculoskeletal Diseases"[MeSH Major Topic] OR "Neoplasms"[MeSH Major Topic] OR "Nervous System Diseases"[MeSH Major Topic] OR "Neurocognitive Disorders"[MeSH Major Topic] OR "Otorhinolaryngologic Diseases"[MeSH Major Topic] OR "Stomatognathic Diseases"[MeSH Major Topic] OR "Respiratory Tract Diseases"[MeSH Major Topic] OR "Skin and Connective Tissue Diseases"[MeSH Major Topic] OR "Psychiatry and Psychology Category"[MeSH Major Topic] OR "Arbovirus Infections"[MeSH Major Topic] OR "Malaria"[MeSH Major Topic] OR "Tuberculosis"[MeSH Major Topic] OR "Hemorrhagic Fevers, Viral"[MeSH Major Topic]) NOT ("Anatomy Category"[MeSH Major Topic] OR "Biological Science Disciplines"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic]) NOT ("Chemicals and Drugs Category"[MeSH Major Topic] OR "Chemistry"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Chemical Phenomena"[MeSH Major Topic]) NOT ("Physics"[MeSH Major Topic] OR "Physical Phenomena"[MeSH Major Topic]) NOT ("Research Support, Non-U.S. Gov't"[Publication Type]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Bio_NIH	AND ("Anatomy Category"[MeSH Major Topic] OR "Biological Science Disciplines"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic]) NOT ("Bacterial Infections and Mycoses"[MeSH Major Topic] OR "Chemically-Induced Disorders"[MeSH Major Topic] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[MeSH Major Topic] OR "Disorders of Environmental Origin"[MeSH Major Topic] OR "Nutritional and Metabolic Diseases"[MeSH Major Topic] OR "Occupational Diseases"[MeSH Major Topic] OR "Parasitic Diseases"[MeSH Major Topic] OR "Pathological Conditions, Signs and Symptoms"[MeSH Major Topic] OR "Virus Diseases"[MeSH Major Topic] OR "Wounds and Injuries"[MeSH Major Topic]) NOT ("Cardiovascular Diseases"[MeSH Major Topic] OR "Digestive System Diseases"[MeSH Major Topic] OR "Endocrine System Diseases"[MeSH Major Topic] OR "Eye Diseases"[MeSH Major Topic] OR "Female Urogenital Diseases and Pregnancy Complications"[MeSH Major Topic] OR "Hemic and Lymphatic Diseases"[MeSH Major Topic] OR "Immune System Diseases"[MeSH Major Topic] OR "Male Urogenital Diseases"[MeSH Major Topic] OR "Musculoskeletal Diseases"[MeSH Major Topic] OR "Neoplasms"[MeSH Major Topic] OR "Nervous System Diseases"[MeSH Major Topic] OR "Neurocognitive Disorders"[MeSH Major Topic] OR "Otorhinolaryngologic Diseases"[MeSH Major Topic] OR "Stomatognathic Diseases"[MeSH Major Topic] OR "Respiratory Tract Diseases"[MeSH Major Topic] OR "Skin and Connective Tissue Diseases"[MeSH Major Topic] OR "Psychiatry and Psychology Category"[MeSH Major Topic] OR "Arbovirus Infections"[MeSH Major Topic] OR "Malaria"[MeSH Major Topic] OR "Tuberculosis"[MeSH Major Topic] OR "Hemorrhagic Fevers, Viral"[MeSH Major Topic]) NOT ("Chemicals and Drugs Category"[MeSH Major Topic] OR "Chemistry"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Chemical Phenomena"[MeSH Major Topic]) NOT ("Physics"[MeSH Major Topic] OR "Physical Phenomena"[MeSH Major Topic]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Bio_Priv	AND ("Anatomy Category"[MeSH Major Topic] OR "Biological Science Disciplines"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic]) NOT ("Bacterial Infections and Mycoses"[MeSH Major Topic] OR "Chemically-Induced Disorders"[MeSH Major Topic] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[MeSH Major Topic] OR "Disorders of Environmental Origin"[MeSH Major Topic] OR "Nutritional and Metabolic Diseases"[MeSH Major Topic] OR "Occupational Diseases"[MeSH Major Topic] OR "Parasitic Diseases"[MeSH Major Topic] OR "Pathological Conditions, Signs and Symptoms"[MeSH Major Topic] OR "Virus Diseases"[MeSH Major Topic] OR "Wounds and Injuries"[MeSH Major Topic]) NOT ("Cardiovascular Diseases"[MeSH Major Topic] OR "Digestive System Diseases"[MeSH Major Topic] OR "Endocrine System Diseases"[MeSH Major Topic] OR "Eye Diseases"[MeSH Major Topic] OR "Female Urogenital Diseases and Pregnancy Complications"[MeSH Major Topic] OR "Hemic and Lymphatic Diseases"[MeSH Major Topic] OR "Immune System Diseases"[MeSH Major Topic] OR "Male Urogenital Diseases"[MeSH Major Topic] OR "Musculoskeletal Diseases"[MeSH Major Topic] OR "Neoplasms"[MeSH Major Topic] OR "Nervous System Diseases"[MeSH Major Topic] OR "Neurocognitive Disorders"[MeSH Major Topic] OR "Otorhinolaryngologic Diseases"[MeSH Major Topic] OR "Stomatognathic Diseases"[MeSH Major Topic] OR "Respiratory Tract Diseases"[MeSH Major Topic] OR "Skin and Connective Tissue Diseases"[MeSH Major Topic] OR "Psychiatry and Psychology Category"[MeSH Major Topic] OR "Arbovirus Infections"[MeSH Major Topic] OR "Malaria"[MeSH Major Topic] OR "Tuberculosis"[MeSH Major Topic] OR "Hemorrhagic Fevers, Viral"[MeSH Major Topic]) NOT ("Chemicals and Drugs Category"[MeSH Major Topic] OR "Chemistry"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Chemical Phenomena"[MeSH Major Topic]) NOT ("Physics"[MeSH Major Topic] OR "Physical Phenomena"[MeSH Major Topic]) NOT ("Research Support, Non-U.S. Gov't"[Publication Type]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Chem_NIH	AND ("Chemicals and Drugs Category"[MeSH Major Topic] OR "Chemistry"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Chemical Phenomena"[MeSH Major Topic]) NOT ("Anatomy Category"[MeSH Major Topic] OR "Biological Science Disciplines"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic]) NOT ("Bacterial Infections and Mycoses"[MeSH Major Topic] OR "Chemically-Induced Disorders"[MeSH Major Topic] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[MeSH Major Topic] OR "Disorders of Environmental Origin"[MeSH Major Topic] OR "Nutritional and Metabolic Diseases"[MeSH Major Topic] OR "Occupational Diseases"[MeSH Major Topic] OR "Parasitic Diseases"[MeSH Major Topic] OR "Pathological Conditions, Signs and Symptoms"[MeSH Major Topic] OR "Virus Diseases"[MeSH Major Topic] OR "Wounds and Injuries"[MeSH Major Topic]) NOT ("Cardiovascular Diseases"[MeSH Major Topic] OR "Digestive System Diseases"[MeSH Major Topic] OR "Endocrine System Diseases"[MeSH Major Topic] OR "Eye Diseases"[MeSH Major Topic] OR "Female Urogenital Diseases and Pregnancy Complications"[MeSH Major Topic] OR "Hemic and Lymphatic Diseases"[MeSH Major Topic] OR "Immune System Diseases"[MeSH Major Topic] OR "Male Urogenital Diseases"[MeSH Major Topic] OR "Musculoskeletal Diseases"[MeSH Major Topic] OR "Neoplasms"[MeSH Major Topic] OR "Nervous System Diseases"[MeSH Major Topic] OR "Neurocognitive Disorders"[MeSH Major Topic] OR "Otorhinolaryngologic Diseases"[MeSH Major Topic] OR "Stomatognathic Diseases"[MeSH Major Topic] OR "Respiratory Tract Diseases"[MeSH Major Topic] OR "Skin and Connective Tissue Diseases"[MeSH Major Topic] OR "Psychiatry and Psychology Category"[MeSH Major Topic] OR "Arbovirus Infections"[MeSH Major Topic] OR "Malaria"[MeSH Major Topic] OR "Tuberculosis"[MeSH Major Topic] OR "Hemorrhagic Fevers, Viral"[MeSH Major Topic]) NOT ("Physics"[MeSH Major Topic] OR "Physical Phenomena"[MeSH Major Topic]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Chem_Priv	AND ("Chemicals and Drugs Category"[MeSH Major Topic] OR "Chemistry"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Chemical Phenomena"[MeSH Major Topic]) NOT ("Anatomy Category"[MeSH Major Topic] OR "Biological Science Disciplines"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic]) NOT ("Bacterial Infections and Mycoses"[MeSH Major Topic] OR "Chemically-Induced Disorders"[MeSH Major Topic] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[MeSH Major Topic] OR "Disorders of Environmental Origin"[MeSH Major Topic] OR "Nutritional and Metabolic Diseases"[MeSH Major Topic] OR "Occupational Diseases"[MeSH Major Topic] OR "Parasitic Diseases"[MeSH Major Topic] OR "Pathological Conditions, Signs and Symptoms"[MeSH Major Topic] OR "Virus Diseases"[MeSH Major Topic] OR "Wounds and Injuries"[MeSH Major Topic]) NOT ("Cardiovascular Diseases"[MeSH Major Topic] OR "Digestive System Diseases"[MeSH Major Topic] OR "Endocrine System Diseases"[MeSH Major Topic] OR "Eye Diseases"[MeSH Major Topic] OR "Female Urogenital Diseases and Pregnancy Complications"[MeSH Major Topic] OR "Hemic and Lymphatic Diseases"[MeSH Major Topic] OR "Immune System Diseases"[MeSH Major Topic] OR "Male Urogenital Diseases"[MeSH Major Topic] OR "Musculoskeletal Diseases"[MeSH Major Topic] OR "Neoplasms"[MeSH Major Topic] OR "Nervous System Diseases"[MeSH Major Topic] OR "Neurocognitive Disorders"[MeSH Major Topic] OR "Otorhinolaryngologic Diseases"[MeSH Major Topic] OR "Stomatognathic Diseases"[MeSH Major Topic] OR "Respiratory Tract Diseases"[MeSH Major Topic] OR "Skin and Connective Tissue Diseases"[MeSH Major Topic] OR "Psychiatry and Psychology Category"[MeSH Major Topic] OR "Arbovirus Infections"[MeSH Major Topic] OR "Malaria"[MeSH Major Topic] OR "Tuberculosis"[MeSH Major Topic] OR "Hemorrhagic Fevers, Viral"[MeSH Major Topic]) NOT ("Physics"[MeSH Major Topic] OR "Physical Phenomena"[MeSH Major Topic]) NOT ("Research Support, Non-U.S. Gov't"[Publication Type]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Phys_NIH	AND ("Physics"[MeSH Major Topic] OR "Physical Phenomena"[MeSH Major Topic]) NOT ("Chemicals and Drugs Category"[MeSH Major Topic] OR "Chemistry"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Chemical Phenomena"[MeSH Major Topic]) NOT ("Anatomy Category"[MeSH Major Topic] OR "Biological Science Disciplines"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic]) NOT ("Bacterial Infections and Mycoses"[MeSH Major Topic] OR "Chemically-Induced Disorders"[MeSH Major Topic] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[MeSH Major Topic] OR "Disorders of Environmental Origin"[MeSH Major Topic] OR "Nutritional and Metabolic Diseases"[MeSH Major Topic] OR "Occupational Diseases"[MeSH Major Topic] OR "Parasitic Diseases"[MeSH Major Topic] OR "Pathological Conditions, Signs and Symptoms"[MeSH Major Topic] OR "Virus Diseases"[MeSH Major Topic] OR "Wounds and Injuries"[MeSH Major Topic]) NOT ("Cardiovascular Diseases"[MeSH Major Topic] OR "Digestive System Diseases"[MeSH Major Topic] OR "Endocrine System Diseases"[MeSH Major Topic] OR "Eye Diseases"[MeSH Major Topic] OR "Female Urogenital Diseases and Pregnancy Complications"[MeSH Major Topic] OR "Hemic and Lymphatic Diseases"[MeSH Major Topic] OR "Immune System Diseases"[MeSH Major Topic] OR "Male Urogenital Diseases"[MeSH Major Topic] OR "Musculoskeletal Diseases"[MeSH Major Topic] OR "Neoplasms"[MeSH Major Topic] OR "Nervous System Diseases"[MeSH Major Topic] OR "Neurocognitive Disorders"[MeSH Major Topic] OR "Otorhinolaryngologic Diseases"[MeSH Major Topic] OR "Stomatognathic Diseases"[MeSH Major Topic] OR "Respiratory Tract Diseases"[MeSH Major Topic] OR "Skin and Connective Tissue Diseases"[MeSH Major Topic] OR "Psychiatry and Psychology Category"[MeSH Major Topic] OR "Arbovirus Infections"[MeSH Major Topic] OR "Malaria"[MeSH Major Topic] OR "Tuberculosis"[MeSH Major Topic] OR "Hemorrhagic Fevers, Viral"[MeSH Major Topic]) AND (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
Phys_Priv	AND ("Physics"[MeSH Major Topic] OR "Physical Phenomena"[MeSH Major Topic]) NOT ("Chemicals and Drugs Category"[MeSH Major Topic] OR "Chemistry"[MeSH Major Topic] OR "Pharmacological Actions Category"[MeSH Major Topic] OR "Chemical Phenomena"[MeSH Major Topic]) NOT ("Anatomy Category"[MeSH Major Topic] OR "Biological Science Disciplines"[MeSH Major Topic] OR "Organisms Category"[MeSH Major Topic] OR "Phenomena and Processes Category"[MeSH Major Topic]) NOT ("Bacterial Infections and Mycoses"[MeSH Major Topic] OR "Chemically-Induced Disorders"[MeSH Major Topic] OR "Congenital, Hereditary, and Neonatal Diseases and Abnormalities"[MeSH Major Topic] OR "Disorders of Environmental Origin"[MeSH Major Topic] OR "Nutritional and Metabolic Diseases"[MeSH Major Topic] OR "Occupational Diseases"[MeSH Major Topic] OR "Parasitic Diseases"[MeSH Major Topic] OR "Pathological Conditions, Signs and Symptoms"[MeSH Major Topic] OR "Virus Diseases"[MeSH Major Topic] OR "Wounds and Injuries"[MeSH Major Topic]) NOT ("Cardiovascular Diseases"[MeSH Major Topic] OR "Digestive System Diseases"[MeSH Major Topic] OR "Endocrine System Diseases"[MeSH Major Topic] OR "Eye Diseases"[MeSH Major Topic] OR "Female Urogenital Diseases and Pregnancy Complications"[MeSH Major Topic] OR "Hemic and Lymphatic Diseases"[MeSH Major Topic] OR "Immune System Diseases"[MeSH Major Topic] OR "Male Urogenital Diseases"[MeSH Major Topic] OR "Musculoskeletal Diseases"[MeSH Major Topic] OR "Neoplasms"[MeSH Major Topic] OR "Nervous System Diseases"[MeSH Major Topic] OR "Neurocognitive Disorders"[MeSH Major Topic] OR "Otorhinolaryngologic Diseases"[MeSH Major Topic] OR "Stomatognathic Diseases"[MeSH Major Topic] OR "Respiratory Tract Diseases"[MeSH Major Topic] OR "Skin and Connective Tissue Diseases"[MeSH Major Topic] OR "Psychiatry and Psychology Category"[MeSH Major Topic] OR "Arbovirus Infections"[MeSH Major Topic] OR "Malaria"[MeSH Major Topic] OR "Tuberculosis"[MeSH Major Topic] OR "Hemorrhagic Fevers, Viral"[MeSH Major Topic]) NOT ("Research Support, Non-U.S. Gov't"[Publication Type]) NOT ("Research Support, American Recovery and Reinvestment Act" [Publication Type] OR "Research Support, U.S. Gov't, Non-P.H.S." [Publication Type] OR "Research Support, U.S. Gov't, P.H.S." [Publication Type]) NOT (NIH[gr] OR "research support, n i h, extramural"[Publication Type] OR "research support, n i h, intramural"[Publication Type])
